Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2012-12-12,0.407972,4.8927,0.0872623,0.0,0.0,0.0
2012-12-13,0.406372,4.8911,0.0856623,0.0,0.0,0.0
2012-12-14,0.404772,4.8895,0.0840623,0.0,0.0,0.0
2012-12-15,0.403172,4.8879,0.0824623,0.0,0.0,0.0
2012-12-16,0.401572,4.8863,0.0808623,0.0,0.0,0.0
2012-12-17,0.399972,4.8847,0.0792623,0.0,0.0,0.0
2012-12-18,0.398372,4.8831,0.0776623,0.0,0.0,0.0
2012-12-19,0.396772,4.8815,0.0760623,0.0,0.0,0.0
2012-12-20,0.395172,4.8799,0.0744623,0.0,0.0,0.0
2012-12-21,0.393572,4.8783,0.0728623,0.0,0.0,0.0
2012-12-22,0.391972,4.8767,0.0712623,0.0,0.0,0.0
2012-12-23,0.390372,4.8751,0.0696623,0.0,0.0,0.0
2012-12-24,0.388772,4.8735,0.0680623,0.0,0.0,0.0
2012-12-25,0.387172,4.8719,0.0664623,0.0,0.0,0.0
2012-12-26,0.385572,4.8703,0.0648623,0.0,0.0,0.0
2012-12-27,0.383972,4.8687,0.0632623,0.0,0.0,0.0
2012-12-28,0.382372,4.8671,0.0616623,0.00105275,0.0,0.0
2012-12-29,0.380772,4.8655,0.0600623,0.00730017,0.0,0.0
2012-12-30,0.379172,4.8639,0.0584623,0.0139815,0.0,0.0
2012-12-31,0.377572,4.8623,0.0568623,0.0203803,0.0,0.0
2013-01-01,0.375972,4.8607,0.0552623,0.0281632,0.0,0.0
2013-01-02,0.374372,4.8591,0.0536623,0.0366535,0.0,0.0
2013-01-03,0.372772,4.8575,0.0520623,0.0451123,0.0,0.0
2013-01-04,0.371172,4.85596,0.0504623,0.0540015,0.0,0.0
2013-01-05,0.369572,4.85596,0.0488623,0.0654232,0.0,0.0
2013-01-06,0.367972,4.85596,0.0472623,0.076941,0.0,0.0
2013-01-07,0.366372,4.85596,0.0456623,0.0887454,0.0,0.0
2013-01-08,0.364772,4.85596,0.0440623,0.100482,0.0,0.0
2013-01-09,0.363172,4.85596,0.0424623,0.112151,0.0,0.0
2013-01-10,0.361572,4.85523,0.0408623,0.12375,0.0,0.0
2013-01-11,0.359972,4.85363,0.0392623,0.13528,0.0,0.0
