time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-17T15:00:00Z,58.3,57.7,51.225,51.225,53.883333333333326,0,0,0,0,Safe,50.8703125,50.8703125,53.43333333333334,0,0,0,0,Safe
2012-03-17T16:00:00Z,58.3,57.5,51.33384615384615,51.33384615384615,54.19583333333333,0,0,0,0,Safe,50.97230769230769,50.97230769230769,53.712500000000006,0,0,0,0,Safe
2012-03-17T17:00:00Z,58.3,57.5,51.43939393939394,51.43939393939394,54.49583333333334,0,0,0,0,Safe,51.07121212121212,51.07121212121212,53.979166666666664,0,0,0,0,Safe
2012-03-17T18:00:00Z,57.9,57.4,51.53582089552239,51.53582089552239,54.74583333333333,0,0,0,0,Safe,51.16567164179104,51.16567164179104,54.208333333333336,0,0,0,0,Safe
2012-03-17T19:00:00Z,57.6,56.8,51.625,51.625,54.98333333333333,0,0,0,0,Safe,51.24852941176471,51.24852941176471,54.42083333333334,0,0,0,0,Safe
2012-03-17T20:00:00Z,57.2,56.6,51.70579710144927,51.70579710144927,55.19583333333333,0,0,0,0,Safe,51.32608695652174,51.32608695652174,54.62916666666666,0,0,0,0,Safe
2012-03-17T21:00:00Z,57.0,56.4,51.78142857142857,51.78142857142857,55.395833333333336,0,0,0,0,Safe,51.39857142857143,51.39857142857143,54.81666666666667,0,0,0,0,Safe
2012-03-17T22:00:00Z,56.6,56.0,51.84929577464789,51.84929577464789,55.56666666666666,0,0,0,0,Safe,51.46338028169014,51.46338028169014,54.975,0,0,0,0,Safe
2012-03-17T23:00:00Z,56.2,55.6,51.90972222222222,51.90972222222222,55.708333333333336,0,0,0,0,Safe,51.520833333333336,51.520833333333336,55.10833333333333,0,0,0,0,Safe
2012-03-18T00:00:00Z,55.8,55.2,51.96301369863014,51.96301369863014,55.82916666666666,0,0,0,0,Safe,51.57123287671233,51.57123287671233,55.225,0,0,0,0,Safe
